artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
Mudhoney,Logged In,Aleena,F,10,Kirby,231.57506,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1.54102E+12,637,Get Into Yours,200,1.54233E+12,44
Carpenters,Logged In,Aleena,F,11,Kirby,238.39302,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1.54102E+12,637,Yesterday Once More,200,1.54233E+12,44
,Logged In,Aleena,F,12,Kirby,,paid,"Waterloo-Cedar Falls, IA",GET,Home,1.54102E+12,637,,200,1.54233E+12,44
Kings Of Leon,Logged In,Aleena,F,13,Kirby,185.28608,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1.54102E+12,637,Taper Jean Girl,200,1.54233E+12,44
The Bloody Beetroots,Logged In,Aleena,F,14,Kirby,201.97832,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1.54102E+12,637,Warp 1.9 (feat. Steve Aoki),200,1.54233E+12,44
Kings Of Leon,Logged In,Aleena,F,15,Kirby,201.79546,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1.54102E+12,637,Revelry,200,1.54233E+12,44
Euge Groove,Logged In,Aleena,F,16,Kirby,265.482,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1.54102E+12,637,Tenderly,200,1.54233E+12,44
Soltero,Logged In,Aleena,F,17,Kirby,249.0771,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1.54102E+12,637,Bleeding Hearts,200,1.54233E+12,44
Nirvana,Logged In,Aleena,F,18,Kirby,257.01832,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1.54102E+12,637,Lithium,200,1.54233E+12,44
,Logged In,Jayden,F,0,Duffy,,free,"Seattle-Tacoma-Bellevue, WA",GET,Home,1.54015E+12,635,,200,1.54233E+12,76
Alliance Ethnik,Logged In,Cecilia,F,0,Owens,252.21179,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1.54103E+12,535,ReprÃÂ©sente,200,1.54235E+12,6
Lykke Li,Logged In,Cecilia,F,1,Owens,232.35873,free,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1.54103E+12,535,Melodies & Desires,200,1.54235E+12,6
,Logged In,Aiden,M,0,Hess,,free,"La Crosse-Onalaska, WI-MN",GET,Home,1.54083E+12,596,,200,1.54235E+12,86
,Logged In,Chloe,F,0,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",GET,Home,1.54094E+12,636,,200,1.54235E+12,49
,Logged In,Chloe,F,1,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",PUT,Logout,1.54094E+12,636,,307,1.54235E+12,49
,Logged Out,,,2,,,paid,,GET,Home,,636,,200,1.54235E+12,
,Logged In,Ryan,M,0,Smith,,free,"San Jose-Sunnyvale-Santa Clara, CA",GET,Home,1.54102E+12,622,,200,1.54236E+12,26
The Coffee Club Orchestra,Logged In,Ryan,M,1,Smith,386.76853,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1.54102E+12,622,Overture,200,1.54236E+12,26
,Logged Out,,,3,,,paid,,GET,About,,636,,200,1.54236E+12,
,Logged Out,,,4,,,paid,,PUT,Login,,636,,307,1.54236E+12,
Harmonia,Logged In,Ryan,M,2,Smith,655.77751,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1.54102E+12,622,Sehr kosmisch,200,1.54236E+12,26
,Logged In,Mohammad,M,0,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",GET,Home,1.54051E+12,614,,200,1.54236E+12,88
,Logged In,Mohammad,M,1,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",GET,Settings,1.54051E+12,614,,200,1.54236E+12,88
Alicia Keys,Logged In,Mohammad,M,2,Rodriguez,182.07302,free,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1.54051E+12,614,Caged Bird,200,1.54236E+12,88
